idUser;firstName;lastName;fullName;tanggalLahir;Alamat;jenisKelamin;noTelp;noRekening;kodeBank;namaBank
14324;Suparno;Mohammad;Suparno Mohammad;1982-07-17;Rembang;P;08739202095;628171232;15;Bank UOB Indonesia
14143;Sulaiman;Muhammad;Sulaiman Muhammad;1984-07-21;Karawang;L;08300953069;425071290;15;Bank UOB Indonesia
13738;Wati;Euis;Wati Euis;1999-02-26;Indramayu;L;08754664657;651267211;1;Bank Central Asia
12922;Maryam;Aan;Maryam Aan;1985-09-17;Magelang;P;08322046944;696466084;11;Bank Raya Indonesia
14469;Wiwik;Nurul;Wiwik Nurul;1978-03-15;Tegal;L;08675923321;710379992;14;Bank Tabungan Negara
11540;Mega;Hasan;Mega Hasan;1979-11-07;Surakarta;P;08359060793;689810565;1;Bank Central Asia
10546;Tini;Usman;Tini Usman;1971-12-06;Bandung;P;08862791388;439186168;5;Bank Negara Indonesia
13363;Mat;Hasan;Mat Hasan;1981-07-30;Purworejo;P;08765950771;551085517;17;Bank Panin
13752;Suparman;Heru;Suparman Heru;1993-04-12;Sukabumi;L;08448054802;613193811;20;Bank Digital BCA
12887;Anik;Anwar;Anik Anwar;1989-05-27;Sragen;L;08439368988;524702306;7;Bank Syariah Indonesia
11448;Jamilah;Slamet;Jamilah Slamet;1995-10-14;Boyolali;P;08352921759;612818869;19;Bank HSBC Indonesia
14223;Neni;Rita;Neni Rita;1998-10-02;Wonogiri;P;08601534925;628018069;18;Bank Mandiri
10677;Ilham;Rita;Ilham Rita;1987-07-27;Cimahi;L;08270271839;704133112;3;Bank Mega
10920;Ririn;Ai;Ririn Ai;1974-12-14;Pati;P;08228829368;485708836;17;Bank Panin
14827;Teti;Rudi;Teti Rudi;1997-11-17;Bogor;P;08865770909;463125585;16;Bank Sinarmas
13410;Anis;Yusuf;Anis Yusuf;1995-08-26;Ciamis;L;08308273098;615499957;6;Bank Maspion
12877;Retno;Wayan;Retno Wayan;1974-12-17;Cirebon;P;08662106587;696559480;8;Bank Jabar
10257;Bayu;Muhamad;Bayu Muhamad;1984-09-18;Batang;L;08223097579;468359816;19;Bank HSBC Indonesia
13973;Ita;Endang;Ita Endang;1984-08-19;Bekasi;L;08518853122;480544881;19;Bank HSBC Indonesia
12372;Cecep;Gusti;Cecep Gusti;1972-06-16;Batang;P;08386825118;709618556;1;Bank Central Asia
11555;Anis;Wahyu;Anis Wahyu;1986-06-19;Klaten;P;08323080105;544889898;2;Bank Artha Graha Internasional
11022;Maryati;Maria;Maryati Maria;1982-03-22;Boyolali;P;08223846341;474816940;2;Bank Artha Graha Internasional
13080;Cucu;Haji;Cucu Haji;1969-09-19;Semarang;P;08684136576;634438451;1;Bank Central Asia
13288;Winda;Gusti;Winda Gusti;1980-05-28;Magelang;L;08328987316;553502248;12;Bank Jenius
10576;Sandi;Sulastri;Sandi Sulastri;1991-09-17;Sumedang;L;08578864016;520698573;10;Bank Jago
11159;Faisal;Gusti;Faisal Gusti;1973-07-11;Banjar;P;08327555594;496767758;4;Bank Rakyat Indonesia
10918;Nanik;Wahyu;Nanik Wahyu;1993-05-23;Cimahi;L;08664330714;437663156;2;Bank Artha Graha Internasional
13353;Gede;Wahyu;Gede Wahyu;1974-09-07;Sumedang;P;08262467728;490712265;7;Bank Syariah Indonesia
11692;Nita;Rini;Nita Rini;1977-03-21;Kuningan;L;08334514567;466919136;7;Bank Syariah Indonesia
10413;Samsudin;Adi;Samsudin Adi;1969-01-25;Tasikmalaya;L;08440280793;716873096;2;Bank Artha Graha Internasional
11154;Mimin;Muhammad;Mimin Muhammad;1999-06-12;Brebes;L;08557279379;449369834;2;Bank Artha Graha Internasional
11909;Khoirul;Wahyu;Khoirul Wahyu;1968-01-04;Cianjur;L;08264023800;660098252;2;Bank Artha Graha Internasional
11307;Yanto;Supardi;Yanto Supardi;1972-07-19;Kendal;L;08227531247;619778543;9;Bank Artos
12478;Bagus;Ridwan;Bagus Ridwan;1973-07-13;Sukoharjo;P;08727896952;544414680;8;Bank Jabar
12908;Didi;Imas;Didi Imas;1975-02-12;Karawang;P;08726091136;516484117;2;Bank Artha Graha Internasional
11296;Siswanto;Dian;Siswanto Dian;1989-11-04;Wonosobo;P;08710934233;499561545;17;Bank Panin
11925;Wiwik;Anita;Wiwik Anita;1976-12-09;Tegal;P;08378805236;502516611;9;Bank Artos
14842;Yadi;Taufik;Yadi Taufik;1976-07-18;Kudus;L;08726933602;582138111;15;Bank UOB Indonesia
12203;Haris;Bambang;Haris Bambang;1967-05-18;Jepara;L;08365757945;426324173;3;Bank Mega
11629;Amat;Mochamad;Amat Mochamad;1996-11-09;Rembang;P;08293385614;585406993;19;Bank HSBC Indonesia
12660;Neng;Rina;Neng Rina;1976-06-26;Ciamis;P;08736495927;578224209;6;Bank Maspion
11351;Yayan;Deni;Yayan Deni;1981-08-04;Cirebon;L;08556539274;453819258;19;Bank HSBC Indonesia
13627;Yayan;Ujang;Yayan Ujang;1991-07-31;Banjarnegara;P;08723850157;541322061;12;Bank Jenius
12462;Candra;Eva;Candra Eva;1987-05-27;Magelang;L;08525150872;465789481;2;Bank Artha Graha Internasional
13636;David;Hasan;David Hasan;1977-12-18;Boyolali;P;08868520396;509898386;6;Bank Maspion
12461;Suwandi;Nyoman;Suwandi Nyoman;1966-03-07;Kendal;L;08352151246;677547631;10;Bank Jago
13891;Suherman;Yani;Suherman Yani;1981-10-20;Tegal;L;08524245377;668060104;11;Bank Raya Indonesia
14877;Sumini;Iwan;Sumini Iwan;1989-01-02;Banjarnegara;P;08491565661;714688079;11;Bank Raya Indonesia
11603;Nova;Edy;Nova Edy;1972-02-26;Bekasi;L;08659651700;664737985;7;Bank Syariah Indonesia
10532;David;Ketut;David Ketut;1966-10-09;Purbalingga;L;08636312757;535775904;1;Bank Central Asia
10122;Sumiyati;Rahmat;Sumiyati Rahmat;1970-07-09;Cimahi;L;08388171807;642064355;8;Bank Jabar
14309;Dg;Ari;Dg Ari;1970-08-23;Garut;L;08848493138;693210806;2;Bank Artha Graha Internasional
10302;Suryani;Eti;Suryani Eti;1974-12-29;Tasikmalaya;P;08374339238;432029067;14;Bank Tabungan Negara
11402;Anik;Achmad;Anik Achmad;1991-04-13;Surakarta;L;08368282985;476279821;16;Bank Sinarmas
11957;Ruslan;Deni;Ruslan Deni;1987-12-16;Bekasi;P;08293558605;497558621;18;Bank Mandiri
11268;Irfan;Mohammad;Irfan Mohammad;1991-05-15;Purbalingga;P;08860998923;614839949;19;Bank HSBC Indonesia
14391;Sunardi;Herman;Sunardi Herman;1970-11-23;Wonosobo;L;08287622654;695207991;10;Bank Jago
12369;Bagus;Siti;Bagus Siti;1984-03-31;Semarang;P;08857378467;645343501;8;Bank Jabar
13595;Khoirul;Linda;Khoirul Linda;1980-07-15;Karawang;P;08423240275;562380597;11;Bank Raya Indonesia
12855;Jumiati;Anwar;Jumiati Anwar;1967-11-04;Kebumen;L;08438882142;443471507;19;Bank HSBC Indonesia
14616;Bayu;La;Bayu La;1999-06-16;Kebumen;P;08314067574;606602919;16;Bank Sinarmas
10854;Didik;Rika;Didik Rika;1973-07-07;Depok;P;08265025245;496262415;7;Bank Syariah Indonesia
13043;Erwin;Taufik;Erwin Taufik;1974-08-21;Kendal;P;08863024353;534093820;4;Bank Rakyat Indonesia
12706;Leni;Heru;Leni Heru;1985-09-07;Batang;P;08363285285;422485724;16;Bank Sinarmas
12151;Rian;Yanti;Rian Yanti;1988-01-14;Semarang;L;08442167359;702633041;2;Bank Artha Graha Internasional
13847;Supriadi;Heru;Supriadi Heru;1987-03-22;Batang;L;08221244785;592178137;8;Bank Jabar
11086;Yohanes;Abdullah;Yohanes Abdullah;1984-12-23;Klaten;L;08685259261;697545518;4;Bank Rakyat Indonesia
11821;Rizky;Irma;Rizky Irma;1999-05-05;Banjar;P;08474453238;666792631;10;Bank Jago
13286;Sugianto;Andi;Sugianto Andi;1966-12-25;Cirebon;L;08296947544;703072061;5;Bank Negara Indonesia
14085;Rahmad;Dedi;Rahmad Dedi;1991-06-02;Sumedang;P;08298618839;449220162;2;Bank Artha Graha Internasional
12472;Komang;Rini;Komang Rini;1974-08-18;Indramayu;L;08655568487;432674575;11;Bank Raya Indonesia
11081;Nita;Dewi;Nita Dewi;1981-08-10;Depok;L;08371131697;673828916;20;Bank Digital BCA
10673;Zainal;Aminah;Zainal Aminah;1983-07-06;Banyumas;L;08297536679;466697277;6;Bank Maspion
13104;Rahmawati;Aan;Rahmawati Aan;1991-05-27;Salatiga;L;08687696383;448464755;20;Bank Digital BCA
13102;Suherman;Yuli;Suherman Yuli;1970-01-08;Batang;P;08664080682;597907478;2;Bank Artha Graha Internasional
10096;Nita;Hadi;Nita Hadi;1988-09-02;Grobogan;L;08851205089;468939001;10;Bank Jago
14060;Rusli;Ahmad;Rusli Ahmad;1997-05-19;Temanggung;P;08482707387;591732638;4;Bank Rakyat Indonesia
12470;Suci;Sumiati;Suci Sumiati;1994-01-07;Salatiga;L;08762918005;717991223;8;Bank Jabar
11538;Sukardi;Nyoman;Sukardi Nyoman;1970-04-27;Bandung;P;08835436124;468556816;15;Bank UOB Indonesia
14453;Fajar;Wawan;Fajar Wawan;1983-09-26;Semarang;P;08629367256;685864358;10;Bank Jago
11449;Suparti;Yudi;Suparti Yudi;1997-07-16;Garut;L;08550095536;634321196;16;Bank Sinarmas
13763;Anah;Mohammad;Anah Mohammad;1979-07-27;Pemalang;P;08610807311;638615894;3;Bank Mega
10130;Suparman;Sumarni;Suparman Sumarni;1988-10-18;Kebumen;L;08328480055;625099564;9;Bank Artos
13542;Dini;Sumarni;Dini Sumarni;1980-07-09;Klaten;P;08794543439;432191078;14;Bank Tabungan Negara
12367;Rosita;Puji;Rosita Puji;1991-05-02;Depok;P;08238916218;717169867;18;Bank Mandiri
10793;Agustina;Neneng;Agustina Neneng;1990-12-31;Sukabumi;P;08700528693;590747970;17;Bank Panin
11495;Ira;Eni;Ira Eni;1988-11-13;Kuningan;P;08645802371;588204167;16;Bank Sinarmas
11334;Deden;Anwar;Deden Anwar;1970-06-04;Kuningan;P;08800693841;635018337;4;Bank Rakyat Indonesia
14437;Rani;Sugeng;Rani Sugeng;1978-02-16;Brebes;L;08216235148;675213357;19;Bank HSBC Indonesia
12873;Susilawati;Nurul;Susilawati Nurul;1976-05-19;Pati;L;08710562245;524855733;16;Bank Sinarmas
10931;Ria;Ujang;Ria Ujang;1999-04-11;Purwakarta;L;08256214735;568522283;2;Bank Artha Graha Internasional
11496;Cucu;Lina;Cucu Lina;1996-08-22;Blora;L;08860936321;493963579;1;Bank Central Asia
10028;Riska;Edy;Riska Edy;1982-05-24;Purbalingga;P;08790795905;466797608;14;Bank Tabungan Negara
14043;Yayan;Desi;Yayan Desi;1982-08-21;Pangandaran;P;08825877787;668758059;8;Bank Jabar
14451;Sumardi;Titin;Sumardi Titin;1990-02-22;Sukabumi;P;08401042753;568064038;3;Bank Mega
12152;Arief;Lilik;Arief Lilik;1982-02-14;Purwakarta;P;08651702563;659584050;5;Bank Negara Indonesia
14933;Mariana;Sumiati;Mariana Sumiati;1983-02-27;Pati;P;08539307097;543560416;18;Bank Mandiri
12113;Yayan;Aan;Yayan Aan;1997-05-22;Tegal;P;08840430860;554519984;2;Bank Artha Graha Internasional
12191;Suyono;Rini;Suyono Rini;1985-03-14;Karanganyar;L;08729765395;473953675;15;Bank UOB Indonesia
10117;Ir;Irma;Ir Irma;1995-04-07;Semarang;L;08802640835;511794178;17;Bank Panin
12587;Dini;Lina;Dini Lina;1997-09-26;Salatiga;P;08518418009;423725199;1;Bank Central Asia
12376;Dini;Ratna;Dini Ratna;1989-10-13;Sukabumi;L;08292719365;496458591;1;Bank Central Asia
11159;Purwanto;Asep;Purwanto Asep;1968-05-25;Magelang;P;08669876179;593449693;1;Bank Central Asia
14371;Suyono;Mulyadi;Suyono Mulyadi;1978-09-04;Pangandaran;L;08346103912;493428921;3;Bank Mega
10970;Irfan;Erni;Irfan Erni;1990-08-18;Banjarnegara;P;08729148173;445209961;16;Bank Sinarmas
10917;Bayu;Ni;Bayu Ni;1970-04-17;Ciamis;P;08365612857;550543058;18;Bank Mandiri
14598;Rosita;Imam;Rosita Imam;1988-06-14;Kudus;P;08508975463;658720917;16;Bank Sinarmas
12564;Ramli;Mochamad;Ramli Mochamad;1998-08-30;Kuningan;L;08741298557;530337385;5;Bank Negara Indonesia
12644;Sutini;Muhamad;Sutini Muhamad;1970-02-18;Bogor;P;08715703932;683654284;11;Bank Raya Indonesia
13250;Rizal;Akhmad;Rizal Akhmad;1969-05-21;Batang;L;08340225404;584462769;9;Bank Artos
13965;Suyono;Abdullah;Suyono Abdullah;1995-06-26;Bandung;P;08546347768;716313626;16;Bank Sinarmas
14415;Endah;Rita;Endah Rita;1993-02-04;Temanggung;L;08404863357;534510276;9;Bank Artos
11575;Aji;Ayu;Aji Ayu;1967-09-08;Tegal;P;08853238816;656301495;8;Bank Jabar
14733;Sukardi;Imam;Sukardi Imam;1984-05-07;Garut;L;08245453241;651472175;17;Bank Panin
14554;Zaenal;Mohammad;Zaenal Mohammad;1981-07-01;Depok;L;08344298090;465174620;6;Bank Maspion
14763;Ina;Putri;Ina Putri;1989-04-05;Tegal;L;08549857212;689424531;4;Bank Rakyat Indonesia
11355;Mat;Maman;Mat Maman;1969-07-20;Salatiga;P;08746107857;421185999;2;Bank Artha Graha Internasional
13239;Dg;Nani;Dg Nani;1998-05-26;Tegal;L;08865850428;482420664;7;Bank Syariah Indonesia
10479;Sitti;Novi;Sitti Novi;1986-12-13;Bandung Barat;P;08453333435;626874902;12;Bank Jenius
11653;Yayat;Irwan;Yayat Irwan;1989-04-19;Cilacap;L;08638590791;580658519;12;Bank Jenius
12804;Mariana;Irma;Mariana Irma;1987-05-17;Cilacap;P;08223734723;697807060;12;Bank Jenius
14910;Rizki;Mochamad;Rizki Mochamad;1996-04-22;Cianjur;L;08704999208;550500235;2;Bank Artha Graha Internasional
11600;Titi;Anwar;Titi Anwar;1991-03-21;Bogor;L;08251715788;470946082;2;Bank Artha Graha Internasional
11357;Titik;Asep;Titik Asep;1997-01-01;Pati;P;08750318693;518343815;17;Bank Panin
14926;Syamsul;Ari;Syamsul Ari;1965-07-31;Sukabumi;L;08673350161;604823631;19;Bank HSBC Indonesia
11630;Sitti;Andi;Sitti Andi;1980-02-22;Pekalongan;L;08313779910;529178415;7;Bank Syariah Indonesia
11691;Supriyanto;Muhammad;Supriyanto Muhammad;1972-05-23;Bekasi;L;08346093922;631968964;10;Bank Jago
13990;Susanti;Abdullah;Susanti Abdullah;1998-10-08;Tegal;P;08265667405;634156032;9;Bank Artos
14737;Nurdin;Agus;Nurdin Agus;1967-09-05;Kebumen;L;08275113622;569650219;13;Bank BPD Bali
14090;Novita;Lukman;Novita Lukman;1967-10-02;Bandung;L;08823300588;646344013;15;Bank UOB Indonesia
10135;Wiji;Umar;Wiji Umar;1990-04-15;Pati;P;08468306061;438671897;18;Bank Mandiri
13146;Rani;Joko;Rani Joko;1987-10-12;Banjar;P;08869283471;517290419;15;Bank UOB Indonesia
10292;Agustinus;Akhmad;Agustinus Akhmad;1983-08-13;Pati;L;08842596483;661720734;11;Bank Raya Indonesia
10005;Drs;Abdul;Drs Abdul;1967-02-10;Pemalang;L;08728637532;565650987;17;Bank Panin
11384;Eli;Hadi;Eli Hadi;1975-12-15;Pangandaran;P;08325296970;568235202;18;Bank Mandiri
12913;Nurjanah;Puji;Nurjanah Puji;1991-06-06;Pangandaran;P;08457582525;683078541;4;Bank Rakyat Indonesia
10847;Suherman;Agung;Suherman Agung;1979-04-28;Demak;L;08460871750;528209824;12;Bank Jenius
11554;Nuraini;Ernawati;Nuraini Ernawati;1989-08-22;Jepara;L;08418371554;472967720;14;Bank Tabungan Negara
12947;Wahyuni;Slamet;Wahyuni Slamet;1996-06-08;Bekasi;L;08637733910;593282318;3;Bank Mega
14748;Rosita;Yuni;Rosita Yuni;1975-12-21;Kebumen;L;08370205835;576214238;9;Bank Artos
13758;Rahayu;Wahyudi;Rahayu Wahyudi;1977-12-26;Kendal;L;08480202358;625413805;18;Bank Mandiri
13302;Yuyun;Heni;Yuyun Heni;1996-08-01;Tasikmalaya;P;08516507761;584712985;14;Bank Tabungan Negara
12474;David;Aminah;David Aminah;1990-09-18;Batang;P;08282525186;512852021;14;Bank Tabungan Negara
12278;Tutik;Ai;Tutik Ai;1980-04-11;Surakarta;P;08826619507;433172425;3;Bank Mega
11296;Yohanes;Rudi;Yohanes Rudi;1987-10-31;Klaten;P;08503369072;701198457;17;Bank Panin
11766;Suwarni;Erna;Suwarni Erna;1973-01-19;Cianjur;L;08486606267;652260831;8;Bank Jabar
12209;Nita;Usman;Nita Usman;1989-08-30;Sukoharjo;P;08440862718;497269590;18;Bank Mandiri
10650;Siska;Putu;Siska Putu;1981-12-17;Majalengka;P;08769064785;509847582;13;Bank BPD Bali
13781;Siska;Lia;Siska Lia;1990-03-23;Cilacap;P;08734267392;468304964;2;Bank Artha Graha Internasional
10099;St;Rita;St Rita;1987-04-03;Tegal;P;08442938890;595428384;12;Bank Jenius
14628;Riska;Devi;Riska Devi;1989-11-04;Cirebon;P;08283680642;704750835;5;Bank Negara Indonesia
14970;Asih;Sumiati;Asih Sumiati;1967-04-12;Sumedang;P;08373807777;536037498;4;Bank Rakyat Indonesia
14821;Agustina;Sugeng;Agustina Sugeng;1985-09-24;Rembang;L;08543728014;506628316;12;Bank Jenius
12234;Wiji;Irwan;Wiji Irwan;1971-05-24;Tasikmalaya;L;08220287123;544400917;1;Bank Central Asia
13701;Yayan;Heri;Yayan Heri;1991-08-28;Cilacap;L;08335820409;641110294;7;Bank Syariah Indonesia
11476;Wiji;Bambang;Wiji Bambang;1979-11-13;Depok;L;08614064578;534838136;6;Bank Maspion
12695;Didi;Lia;Didi Lia;1971-09-10;Rembang;P;08273278667;718060298;17;Bank Panin
12398;Hendrik;Sunarti;Hendrik Sunarti;1973-10-30;Tegal;P;08653238975;647211152;15;Bank UOB Indonesia
10264;Toni;Joko;Toni Joko;1978-07-21;Cirebon;P;08358253031;490827397;20;Bank Digital BCA
12624;Dewa;Erni;Dewa Erni;1973-05-14;Bandung;L;08550286785;465784880;11;Bank Raya Indonesia
14228;Mimin;Nurhayati;Mimin Nurhayati;1997-09-20;Salatiga;P;08466967779;464775404;12;Bank Jenius
12143;Eli;Endang;Eli Endang;1989-12-27;Indramayu;L;08869528449;680586458;17;Bank Panin
10228;Supriadi;Edi;Supriadi Edi;1975-09-26;Sumedang;P;08645186239;483578722;4;Bank Rakyat Indonesia
11215;Ina;Nur;Ina Nur;1969-06-26;Purbalingga;P;08425599791;620652575;12;Bank Jenius
14328;Rosita;Diana;Rosita Diana;1980-03-07;Tegal;P;08727902008;603614654;12;Bank Jenius
11701;Ir;Wa;Ir Wa;1978-03-05;Indramayu;P;08247950767;563729546;4;Bank Rakyat Indonesia
12246;Jumadi;Wahyudi;Jumadi Wahyudi;1997-10-16;Pekalongan;L;08606728976;693093425;1;Bank Central Asia
10075;Rahman;Rita;Rahman Rita;1979-07-14;Grobogan;L;08638476405;479922976;5;Bank Negara Indonesia
14271;Haris;Sumarni;Haris Sumarni;1993-07-19;Pangandaran;P;08819993603;447639704;14;Bank Tabungan Negara
10813;Nita;Yeni;Nita Yeni;1997-05-04;Kuningan;P;08644502448;436772421;12;Bank Jenius
11484;Rizal;Anita;Rizal Anita;1972-12-17;Tasikmalaya;P;08844622673;663388991;9;Bank Artos
13399;Ramli;Muhammad;Ramli Muhammad;1980-11-04;Purworejo;L;08387447785;512541477;18;Bank Mandiri
14409;Agustinus;Joko;Agustinus Joko;1980-07-26;Banjarnegara;P;08378357804;549354187;11;Bank Raya Indonesia
13243;Iskandar;Wiwin;Iskandar Wiwin;1997-02-04;Brebes;L;08559853364;689519213;1;Bank Central Asia
11899;Anah;Moch;Anah Moch;1980-03-27;Banjarnegara;P;08422798607;542963745;3;Bank Mega
13591;Siswanto;Mohammad;Siswanto Mohammad;1972-02-16;Magelang;P;08699034602;453525738;11;Bank Raya Indonesia
14210;Maryati;Dedi;Maryati Dedi;1981-12-30;Garut;P;08766036733;425088300;6;Bank Maspion
10655;Siska;Nani;Siska Nani;1988-08-31;Blora;P;08570961700;706870245;9;Bank Artos
12996;Abu;Ratna;Abu Ratna;1976-07-07;Sukoharjo;P;08213209245;667841958;18;Bank Mandiri
14369;Dedy;Novi;Dedy Novi;1971-12-12;Purwakarta;P;08302855773;530679290;3;Bank Mega
12008;Yulia;Imam;Yulia Imam;1981-09-18;Bogor;L;08560896759;512672917;9;Bank Artos
12344;Hartono;Ketut;Hartono Ketut;1992-02-08;Boyolali;L;08780512356;555205579;16;Bank Sinarmas
11230;Teti;Nur;Teti Nur;1966-12-26;Purwakarta;P;08441016914;489017086;5;Bank Negara Indonesia
